SOL·LICITUD,NOM,TRAMITAT,POTÈNCIA (MW),MUNICIPI,CODI  MUNICIPI,COMARCA,CODI COMARCA,VEGUERIA,SOL·LICITANT,ESTAT,TRÀMIT AMBIENTAL,ESTAT AMBIENTAL,DATA PONÈNCIA,SENTIT ACORD,NÚM. AEROGENERADORS,AEROGENERADORS AL MUNICIPI
,La Collada,Catalunya,3,"Perelló, el",431042,Baix Ebre,09,Terres de l'Ebre,"EÒLICA Del Perelló, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,1,1
,La Collada (Ampliació),Catalunya,7.5,"Perelló, el",431042,Baix Ebre,09,Terres de l'Ebre,"EOLICA DEL PERELLO, S.L.",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,2,2
,La Llacuna,Catalunya,0.23,"Llacuna, la",081043,Anoia,06,Penedès,Ajuntament de La Llacuna,En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,1,1
,Les Comes,Catalunya,3,Vilalba dels Arcs,431750,Terra Alta,37,Terres de l'Ebre,"PARC EÒLIC LES COMES, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,2,2
,Les Forques,Catalunya,30,Forès,430614,Conca de Barberà,16,Camp de Tarragona,"SISTEMES ENERGÈTICS SERRA LES FORQUES, SA",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,15,11
,Les Forques,Catalunya,0,Passanant i Belltall,431016,Conca de Barberà,16,Camp de Tarragona,"SISTEMES ENERGÈTICS SERRA LES FORQUES, SA",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,0,4
,Les Forques II,Catalunya,12,Passanant i Belltall,431016,Conca de Barberà,16,Camp de Tarragona,"GERR GRUPO ENERGÉTICO XXI, SA",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,6,6
,Les Rotes,Catalunya,44,Bellaguarda,251706,Garrigues,18,Lleida,"TARRACO EÒLICA, SA",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,22,14
,Les Rotes,Catalunya,0,"Granadella, la",251018,Garrigues,18,Lleida,"TARRACO EÒLICA, SA",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,0,8
,Los Barrancs,Catalunya,22.98,Vilalba dels Arcs,431750,Terra Alta,37,Terres de l'Ebre,"Eòlica Tramuntana, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,6,6
,Mas de la Potra,Catalunya,2.6,Pradell de la Teixeta,431153,Priorat,29,Camp de Tarragona,"ESBRUG, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,2,1
,Mas de la Potra,Catalunya,0,Duesaigües,430537,Baix Camp,08,Camp de Tarragona,"ESBRUG, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,0,1
,Monclues,Catalunya,30,"Granadella, la",251018,Garrigues,18,Lleida,"TARRACO EÒLICA, SA",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,15,15
,Montargull,Catalunya,30,Llorac,430733,Conca de Barberà,16,Camp de Tarragona,"SISTEMES ENERGÈTICS SERRA DE MONTARGULL, SA",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,15,8
,Montargull,Catalunya,0,Talavera,252167,Segarra,32,Lleida,"SISTEMES ENERGÈTICS SERRA DE MONTARGULL, SA",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,0,7
,Montargull Ampliació,Catalunya,14,Talavera,252167,Segarra,32,Lleida,"SISTEMES ENERGÈTICS SERRA DE MONTARGULL, SA",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,7,5
,Montargull Ampliació,Catalunya,0,Llorac,430733,Conca de Barberà,16,Camp de Tarragona,"SISTEMES ENERGÈTICS SERRA DE MONTARGULL, SA",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,0,2
,Mudefer,Catalunya,45,Caseres,430419,Terra Alta,37,Terres de l'Ebre,"CATALANA D'ENERGIES RENOVABLES, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,25,25
,Mudefer II,Catalunya,12.6,Caseres,430419,Terra Alta,37,Terres de l'Ebre,"CATALANA D'ENERGIES RENOVABLES, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,7,7
,Pujalt,Catalunya,42,Pujalt,081764,Anoia,06,Catalunya Central,"PARQUE EÓLICO Pujalt, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,21,21
,Pujalt Eolpop,Catalunya,2.35,Pujalt,081764,Anoia,06,Catalunya Central,"EOLPOP, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,1,1
,Punta Redona,Catalunya,26.81,"Pobla de Massaluca, la",431107,Terra Alta,37,Terres de l'Ebre,"Eòlica Tramuntana, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,7,4
,Punta Redona,Catalunya,0,Vilalba dels Arcs,431750,Terra Alta,37,Terres de l'Ebre,"Eòlica Tramuntana, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,0,2
,Punta Redona,Catalunya,0,Batea,430228,Terra Alta,37,Terres de l'Ebre,"Eòlica Tramuntana, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,0,1
,Sant Antoni,Catalunya,50,"Granadella, la",251018,Garrigues,18,Lleida,"TARRACO EÒLICA, SA",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,20,20
,Savallà,Catalunya,18,Savallà del Comtat,431439,Conca de Barberà,16,Camp de Tarragona,"GERR GRUPO ENERGÉTICO XXI, SA",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,9,9
,Serra de Rubió,Catalunya,49.5,Rubió,081859,Anoia,06,Penedès,"EÒLICA DE Rubió, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,33,21
,Serra de Rubió,Catalunya,0,Castellfollit del Boix,080594,Bages,07,Catalunya Central,"EÒLICA DE Rubió, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,0,10
,Serra de Rubió,Catalunya,0,Òdena,081430,Anoia,06,Penedès,"EÒLICA DE Rubió, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,0,2
,Serra de Rubió II,Catalunya,25.5,Rubió,081859,Anoia,06,Penedès,"EÒLICA DE Rubió, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,17,17
,Serra de Vilobí,Catalunya,40.5,Fulleda,250978,Garrigues,18,Lleida,"ENERGÍAS EÓLICAS DE CATALUNYA, SA",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,27,19
,Serra de Vilobí,Catalunya,0,Tarrés,252189,Garrigues,18,Lleida,"ENERGÍAS EÓLICAS DE CATALUNYA, SA",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,0,8
,Serra de Vilobí II,Catalunya,9,Tarrés,252189,Garrigues,18,Lleida,"ENERGÍAS EÓLICAS DE CATALUNYA, SA",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,3,3
,Serra del Tallat,Catalunya,49.5,Vallbona de les Monges,252385,Urgell,38,Lleida,"ENERGÍAS EÓLICAS DE CATALUNYA, SA",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,33,26
,Serra del Tallat,Catalunya,0,Passanant i Belltall,431016,Conca de Barberà,16,Camp de Tarragona,"ENERGÍAS EÓLICAS DE CATALUNYA, SA",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,0,7
,Serra Voltorera,Catalunya,16,Cabra del Camp,430363,Alt Camp,01,Camp de Tarragona,"PARC EÒLIC SERRA VOLTORERA, SLU",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,10,10
,Solans,Catalunya,44,Llardecans,251253,Segrià,33,Lleida,"TARRACO EÒLICA, SA",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,20,16
,Solans,Catalunya,0,"Granadella, la",251018,Garrigues,18,Lleida,"TARRACO EÒLICA, SA",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,0,4
,Torre Madrina,Catalunya,50,Gandesa,430640,Terra Alta,37,Terres de l'Ebre,"PARC EÒLIC TORRE MADRINA, SLU",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,20,15
