SOL·LICITUD,NOM,TRAMITAT,POTÈNCIA (MW),SUPERFÍCIE (Ha),MUNICIPI,CODI  MUNICIPI,COMARCA,CODI COMARCA,VEGUERIA,SUPERFÍCIE AL MUNICIPI (Ha),SOL·LICITANT,ESTAT,TIPUS DE SÒL,TRÀMIT AMBIENTAL,ESTAT AMBIENTAL,DATA PONÈNCIA,SENTIT ACORD
FUE-2023-03481974,PSFV La Plana 1,Catalunya,2.15,3.43,Piera,081614,Anoia,06,Penedès,3.43,"DELTA RENOVABLES, S.A.",En tramitació,Sòl no urbanitzable,Supòsit d'AIA,Informació Pública (DOGC),,
FUE-2023-03512551,PSFV El Magí,Catalunya,3.63,3.59,Manlleu,081120,Osona,24,Catalunya Central,3.59,ESTABANELL GENERACIÓ SLU,En tramitació,Sòl no urbanitzable,No supòsit d'AIA,Informat,,
FUE-2023-03546146,PSFV Sol de Perera,Catalunya,4.995,8.1,Lleida,251207,Segrià,33,Lleida,8.1,Fuerzas del Este S.L.,En tramitació,Sòl no urbanitzable,Supòsit d'AIA,Informació Pública (DOGC),,
FUE-2023-03564142,PSFV Flotant Bassa Reg Alcanó,Catalunya,0.688,0.45,Alcanó,250100,Segrià,33,Lleida,0.45,AGRIWATER SL,En tramitació,Sòl no urbanitzable,Supòsit d'AIA,Informació Pública (DOGC),,
FUE-2023-03564219,PSFV Argelaguer,Catalunya,4.35,4.48,Argelaguer,170101,Garrotxa,19,Girona,4.48,"Fundació Assistencial de Mutua de Terrassa, FPC",En tramitació,Sòl no urbanitzable,No supòsit d'AIA,Informat,,
FUE-2023-03564370,PSFV Flotant Bassa Reg Alfés,Catalunya,2.1,1.3,Alfés,250143,Segrià,33,Lleida,1.3,AGRIWATER SL,En tramitació,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,01/08/2024,No cal AIA ordinària
FUE-2023-03570439,PSFV Pla de Seguers,Catalunya,4.8,5.99,Orís,081509,Osona,24,Catalunya Central,5.99,"ESTABANELL GENERACIO, SLU",En tramitació,Sòl no urbanitzable,Supòsit d'AIA,Informació Pública (DOGC),,
FUE-2023-03598581,PSFV Parsosy Los Prados,Catalunya,4.95,7.3,Reus,431233,Baix Camp,08,Camp de Tarragona,7.3,"PARSOSY LOS PRADOS, SL",En tramitació,Sòl no urbanitzable,Supòsit d'AIA,Informació Pública (DOGC),,
FUE-2023-03604114,PSFV Onyar Solar,Catalunya,4.95,7.28,Vilobí d'Onyar,172333,Selva,34,Girona,7.28,"RP ENERGÍA CUATRO, S.L.",En tramitació,Sòl no urbanitzable,Supòsit d'AIA,Informació Pública (DOGC),,
FUE-2023-03621390,PSFV Constantí-22,Catalunya,5.632,8.8,Constantí,430477,Tarragonès,36,Camp de Tarragona,8.8,IOSA GREEN ENERGY SL,En tramitació,Sòl no urbanitzable,Supòsit d'AIA,Informació Pública (DOGC),,
FUE-2024-03653748,PSFV Eguzki Voltregà,Catalunya,4.95,8.41,Santa Cecília de Voltregà,082439,Osona,24,Catalunya Central,8.41,"EGUZKI VOLTREGÀ, SLU",En tramitació,Sòl no urbanitzable,Supòsit d'AIA,Informació Pública (DOGC),,
FUE-2024-03722178,PSFV Torrent de Vinyoles,Catalunya,3.63,4.99,Sant Vicenç de Torelló,082652,Osona,24,Catalunya Central,4.99,ESTABANELL GENERACIÓ SLU,En tramitació,Sòl no urbanitzable,No supòsit d'AIA,Informat,,
FUE-2024-03733280,PSFV La Selva del Camp,Catalunya,2.464,3.57,"Selva del Camp, la",431457,Baix Camp,08,Camp de Tarragona,3.57,"INFORTECNIA 5000, S.L.",En tramitació,Sòl no urbanitzable,Supòsit d'AIA,Informació Pública (DOGC),,
FUE-2024-03784384,PSFV Congost,Catalunya,1.98,4.2,Centelles,080673,Osona,24,Catalunya Central,3.8,"ESTABANELL GENERACIÓ, SLU",En tramitació,Sòl no urbanitzable,No supòsit d'AIA,Informació Pública (DOGC),,
FUE-2024-03784384,PSFV Congost,Catalunya,0,0,Seva,082690,Osona,24,Catalunya Central,0.2,"ESTABANELL GENERACIÓ, SLU",En tramitació,Sòl no urbanitzable,No supòsit d'AIA,Informació Pública (DOGC),,
FUE-2024-03784384,PSFV Congost,Catalunya,0,0,Balenyà,080174,Osona,24,Catalunya Central,0.2,"ESTABANELL GENERACIÓ, SLU",En tramitació,Sòl no urbanitzable,No supòsit d'AIA,Informació Pública (DOGC),,
FUE-2024-03798577,PSFV EB1 Flix - La Devesa - Ampliació,Catalunya,1.023,2.305,Flix,430607,Ribera d'Ebre,30,Terres de l'Ebre,2.305,COMUNITAT DE REGANTS GARRIGUES SUD,En tramitació,Sòl no urbanitzable,No supòsit d'AIA,Informat,,
FUE-2024-03799837,PSFV d'autoconsum Regzota,Catalunya,4.96,6.35,"Pobla de Massaluca, la",431107,Terra Alta,37,Terres de l'Ebre,6.35,Comunitat de Regants REGZOTA,En tramitació,Sòl no urbanitzable,Supòsit d'AIA,Informació Pública (DOGC),,
FUE-2024-03833194,PSFV Mas Colomer,Catalunya,1.056,1.91,Vidreres,172137,Selva,34,Girona,1.91,"Bonanova Grup, SL",En tramitació,Sòl no urbanitzable,No supòsit d'AIA,Informació Pública (DOGC),,
FUE-2024-03854904,PSFV Edar Olot,Catalunya,0.15,0.23,Olot,171143,Garrotxa,19,Girona,0.23,"Aquambiente Servicios Sector Agua, SAU",En tramitació,Sòl no urbanitzable,No supòsit d'AIA,Informació Pública (DOGC),,
